Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
Balranald Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,271,,100%,,Not peered
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,299,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,309,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,369,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,382,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,413,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,436,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,427,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,506,,100%,,100%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"5,356",,87%,,81%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"5,994",,85%,,84%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"9,341",,82%,,84%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"10,124",,70%,,80%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"10,512",,85%,,77%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"10,188",,83%,,76%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"9,930",,77%,,77%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"10,158",,70%,,76%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"15,522",,71%,,62%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"16,856",,67%,,63%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"17,780",,76%,,65%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"19,407",,72%,,63%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 3. Urgent,"22,502",,82%,,63%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 3. Urgent,"23,172",,76%,,61%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 3. Urgent,"25,660",,73%,,60%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 3. Urgent,"28,476",,69%,,59%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 4. Semi-Urgent,"19,566",,80%,,66%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 4. Semi-Urgent,"19,191",,80%,,68%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 4. Semi-Urgent,"18,086",,85%,,72%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 4. Semi-Urgent,"17,993",,87%,,72%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 4. Semi-Urgent,"16,742",,89%,,73%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 4. Semi-Urgent,"15,884",,87%,,73%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 4. Semi-Urgent,"15,482",,79%,,72%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 4. Semi-Urgent,"14,530",,78%,,71%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,730",,94%,*,89%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,573",,NP†,,90%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,300",,97%,*,92%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,963",,96%,,92%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,690",,97%,,92%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,860",,97%,,92%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,555",,92%,,92%
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,647",,92%,,91%
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,5,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,0,,-,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,7,,NP,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,<5,,NP,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,8,,NP,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,6,,NP,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,28,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,71,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,45,,80%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,59,,97%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,77,,99%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,80,,100%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,128,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,130,,89%,*,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,144,,80%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,153,,89%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,191,,95%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,189,,95%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,197,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,157,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,243,,89%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,204,,98%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,228,,98%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,227,,100%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,299,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,99,,NP†,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,226,,95%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,172,,98%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,93,,100%,,Not peered
Baradine Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,77,,100%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,0,,-,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,<5,,NP,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,<5,,NP,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,<5,,NP,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,<5,,NP,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,<5,,NP,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,84,,86%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,88,,98%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,78,,95%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,69,,43%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,53,,56%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,48,,27%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,256,,87%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,307,,95%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,334,,94%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,300,,79%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,275,,86%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,273,,78%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,637,,95%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,801,,96%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,760,,99%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,675,,93%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,489,,95%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,513,,95%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,437,,100%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,492,,99%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,248,,99%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,371,,96%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,355,,99%,,Not peered
Barham Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,351,,100%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 1. Resuscitation,6,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,0,,-,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,<5,,NP,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 2. Emergency,52,,90%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 2. Emergency,59,,80%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,61,,84%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,71,,86%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,62,,65%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,65,,65%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,55,,64%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,50,,72%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 3. Urgent,344,,88%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 3. Urgent,334,,84%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,292,,77%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,292,,75%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,317,,75%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,327,,73%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,276,,68%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,202,,73%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 4. Semi-Urgent,"1,947",,95%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 4. Semi-Urgent,"1,151",,91%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,929,,89%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,626,,89%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,796,,89%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,859,,90%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,719,,82%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,557,,84%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2011–12,Triage 5. Non-Urgent,428,,100%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2012–13,Triage 5. Non-Urgent,334,,99%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,474,,99%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,606,,98%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,338,,98%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,560,,99%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,437,,99%,,Not peered
Barraba Multi Purpose Service,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,491,,99%,,Not peered
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 1. Resuscitation,24,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 1. Resuscitation,45,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,48,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,45,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,52,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,49,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,63,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,69,,100%,,100%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 2. Emergency,846,,42%,,81%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 2. Emergency,"1,107",,77%,,88%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,"1,376",,93%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,"1,386",,98%,,86%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,"1,263",,93%,,86%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,"1,308",,88%,,86%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,"1,484",,87%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,"1,603",,82%,,83%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 3. Urgent,"3,498",,49%,,80%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 3. Urgent,"3,563",,72%,,84%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"3,670",,85%,,82%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"4,050",,87%,,84%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"4,179",,84%,,84%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"4,106",,79%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"4,559",,78%,,83%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"4,966",,77%,,81%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 4. Semi-Urgent,"7,476",,64%,,81%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 4. Semi-Urgent,"6,825",,72%,,83%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"6,547",,80%,,83%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"5,336",,84%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"5,718",,80%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"3,456",,83%,,85%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"3,461",,84%,,84%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"5,141",,82%,,83%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2011–12,Triage 5. Non-Urgent,"3,179",,83%,*,94%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2012–13,Triage 5. Non-Urgent,"3,135",,88%,*,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,148",,92%,*,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,184",,NP†,,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,301",,92%,*,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,712,,NP†,,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,645,,94%,*,95%
Batemans Bay Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,116",,94%,,95%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 1. Resuscitation,82,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 1. Resuscitation,72,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 1. Resuscitation,59,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 1. Resuscitation,54,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 1. Resuscitation,62,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 1. Resuscitation,83,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 1. Resuscitation,120,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 1. Resuscitation,102,,100%,,100%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 2. Emergency,"1,693",,82%,,80%
Bathurst Health Service,Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 2. Emergency,"1,700",,78%,,83%
